accelerometerX,accelerometerY,accelerometerZ,gyroscopeX,gyroscopeY,gyroscopeZ
-0.415,0.751,0.473,2.441,10.864,0.244
-0.425,0.754,0.363,4.700,11.047,0.244
-0.423,0.755,0.379,4.456,7.751,0.061
-0.416,0.710,0.409,4.517,5.127,-0.488
-0.411,0.688,0.491,4.639,3.601,0.671
-0.418,0.717,0.479,4.089,5.249,2.136
-0.414,0.804,0.493,5.798,5.615,2.991
-0.413,0.814,0.454,7.874,7.385,-0.610
-0.422,0.746,0.404,12.085,8.118,-1.709
-0.423,0.755,0.404,14.282,6.775,-0.732
-0.425,0.763,0.412,14.709,4.395,-0.854
-0.428,0.758,0.436,11.780,3.418,-1.038
-0.430,0.742,0.436,5.798,4.456,-0.671
-0.423,0.761,0.449,5.920,3.784,-0.183
-0.422,0.774,0.406,7.751,5.798,-0.671
-0.416,0.751,0.435,7.690,2.686,-1.526
-0.413,0.727,0.477,6.653,2.014,-1.709
-0.421,0.734,0.419,4.395,4.700,-0.305
-0.418,0.765,0.476,0.000,2.258,1.221
-0.416,0.778,0.438,0.244,3.845,1.099
-0.419,0.761,0.416,3.479,2.747,-0.244
-0.414,0.729,0.434,4.333,1.953,-0.732
-0.412,0.723,0.521,5.798,1.404,0.488
-0.412,0.736,0.512,6.165,2.808,1.892
-0.412,0.756,0.513,5.188,3.174,2.563
-0.417,0.768,0.418,3.479,6.897,1.648
-0.411,0.771,0.417,-0.122,3.174,2.075
-0.407,0.807,0.472,0.061,1.099,2.625
-0.421,0.761,0.378,5.554,3.174,-0.671
-0.417,0.755,0.457,7.019,-1.038,-0.854
-0.416,0.750,0.489,9.460,-0.244,-0.732
-0.411,0.757,0.474,8.667,-0.549,-0.732
-0.409,0.745,0.436,5.432,0.916,-0.671
-0.406,0.785,0.459,-1.709,-0.549,0.061
-0.412,0.737,0.495,-1.160,-1.465,-1.221
-0.414,0.716,0.496,1.892,-0.671,-0.671
-0.409,0.721,0.530,2.441,-1.709,-0.122
-0.407,0.740,0.496,3.174,0.977,0.244
-0.405,0.762,0.486,4.089,0.671,-0.427
-0.401,0.759,0.487,3.540,0.488,-0.854
-0.396,0.714,0.530,1.404,0.061,-1.892
-0.397,0.702,0.539,0.977,2.014,-0.854
-0.407,0.710,0.470,0.610,2.686,-0.427
-0.401,0.729,0.525,0.549,0.000,0.122
-0.406,0.729,0.474,1.343,1.953,0.244
-0.403,0.710,0.537,1.038,-1.099,0.366
-0.409,0.741,0.466,1.709,2.380,1.282
-0.406,0.745,0.502,2.136,0.610,1.038
-0.403,0.744,0.461,2.686,2.441,0.488
-0.406,0.714,0.444,1.587,2.380,0.061

-1.005,1.152,0.502,-7.690,-178.284,-28.625
-1.048,0.940,0.687,-13.855,-179.382,-43.396
-1.039,0.729,0.977,-22.949,-174.255,-47.302
-1.033,0.591,0.642,-16.602,-155.762,-45.776
-0.985,0.433,0.858,-10.559,-169.250,-40.894
-0.981,0.563,0.875,-12.573,-166.992,-32.227
-1.009,0.891,0.814,-16.296,-161.804,-25.269
-1.043,0.830,0.824,-10.010,-159.302,-38.391
-1.049,0.649,0.762,6.348,-158.936,-48.157
-0.992,0.506,0.743,16.052,-159.851,-51.147
-0.947,0.237,1.037,22.644,-164.978,-45.105
-0.920,0.758,0.938,33.875,-153.748,-27.161
-0.919,0.871,0.891,39.612,-151.489,-32.410
-0.945,0.799,0.798,57.983,-148.621,-50.964
-0.924,0.518,0.730,70.801,-148.499,-65.796
-0.917,0.125,0.871,64.758,-151.428,-70.984
-0.881,0.440,0.952,44.434,-146.301,-42.053
-0.880,0.740,0.917,30.151,-138.184,-37.354
-0.894,0.848,0.842,31.982,-134.644,-41.382
-0.895,0.562,0.958,43.030,-136.230,-57.922
-0.827,0.504,0.858,51.880,-129.089,-57.983
-0.802,0.281,1.095,36.743,-129.150,-55.054
-0.788,0.406,1.129,23.865,-123.291,-44.556
-0.769,0.736,1.040,3.967,-111.206,-32.898
-0.763,0.904,1.010,16.235,-105.835,-40.833
-0.747,0.746,0.851,45.959,-97.168,-58.472
-0.736,0.662,0.749,57.129,-95.581,-63.782
