accelerometerX,accelerometerY,accelerometerZ,gyroscopeX,gyroscopeY,gyroscopeZ
0.037,0.045,0.772,3.357,-77.637,273.804
0.012,0.008,0.913,-3.967,-67.993,265.137
-0.029,-0.099,1.062,-12.695,-52.612,255.798
-0.059,-0.178,1.163,-7.202,-35.889,258.240
-0.116,-0.123,1.131,1.709,-13.123,275.940
-0.205,0.105,0.869,6.775,23.743,303.467
-0.275,0.410,0.458,6.653,64.331,333.496
-0.324,0.685,0.115,5.493,82.825,352.966
-0.327,0.904,0.008,11.719,56.519,353.699
-0.310,1.081,0.263,23.071,-7.080,345.764
-0.309,1.204,0.679,28.687,-66.040,334.412
-0.330,1.293,0.987,28.320,-90.515,322.266
-0.297,1.382,1.082,33.936,-70.313,309.570
-0.258,1.359,1.035,42.969,-28.381,295.654
-0.288,1.417,0.809,56.091,6.409,289.429
-0.329,1.560,0.653,61.523,15.625,286.316
-0.342,1.734,0.611,60.791,2.686,276.611
-0.046,1.831,0.557,60.242,-10.681,265.442
-0.351,2.150,0.607,51.636,-18.677,257.507
-0.166,2.154,0.562,54.871,-24.414,223.938
-0.154,2.014,0.567,9.338,-33.752,172.974
-0.185,1.906,0.697,-21.362,-51.636,142.212
-0.123,1.841,0.825,-14.832,-60.913,125.671
-0.057,1.838,0.911,-12.878,-58.716,120.972
-0.037,1.890,0.981,-14.954,-48.523,124.207
-0.026,1.953,0.937,-2.808,-28.748,122.070
-0.038,1.984,0.886,1.099,-11.047,104.248
-0.016,1.894,0.815,7.935,1.404,72.998
0.009,1.763,0.734,13.733,11.047,44.189
-0.023,1.712,0.662,18.921,13.977,24.902
-0.002,1.550,0.615,29.419,8.728,5.676
0.026,1.448,0.627,23.071,1.770,-6.226
0.022,1.375,0.666,24.719,-3.906,-10.803
0.038,1.275,0.695,20.142,-7.690,-17.456
0.035,1.195,0.699,14.343,-8.484,-23.865
0.044,1.085,0.706,17.517,-8.728,-31.067
0.053,0.963,0.711,18.372,-7.263,-36.499
0.057,0.841,0.715,15.686,-4.822,-38.330
0.050,0.735,0.717,10.803,-2.136,-36.011
0.044,0.671,0.719,7.202,0.793,-30.212

-0.272,1.893,0.729,72.327,0.793,71.533
-0.324,1.988,0.768,69.519,-13.428,45.776
-0.370,1.986,0.856,54.504,-28.870,3.784
-0.372,2.039,0.984,36.499,-39.856,-33.875
-0.388,2.164,1.145,28.381,-50.537,-59.692
-0.420,2.372,1.384,11.902,-58.411,-78.125
-0.441,2.625,1.714,-15.625,-59.875,-98.328
-0.563,2.764,1.999,-19.226,-45.105,-131.592
-0.748,2.895,2.153,-19.775,-5.371,-175.720
-0.885,2.955,2.191,-34.912,49.255,-231.934
-1.004,2.850,2.095,-37.903,96.863,-311.707
-1.258,2.451,2.098,-24.048,121.216,-406.189
-1.441,1.939,2.119,-30.457,144.409,-484.009
-1.591,1.394,2.070,-22.705,181.519,-536.133
-1.725,0.941,1.941,-5.676,229.126,-562.134
-1.922,0.526,1.563,4.517,286.011,-565.430
-1.891,0.084,1.056,-8.789,345.337,-562.500
-1.877,-0.424,0.581,-53.955,384.338,-568.115
-1.672,-0.950,0.223,-119.385,386.536,-576.111
-1.365,-1.414,0.071,-177.063,344.849,-571.716
-1.026,-1.750,0.116,-194.397,272.278,-532.715
-0.729,-1.860,0.265,-163.513,199.402,-455.139
-0.461,-1.674,0.442,-119.568,150.757,-358.337
-0.314,-1.283,0.494,-84.900,130.493,-269.531
-0.191,-0.986,0.403,-59.937,129.761,-217.957
-0.149,-0.939,0.268,-53.467,131.714,-210.510
-0.134,-1.106,0.105,-57.739,131.531,-223.511
-0.088,-1.371,-0.061,-54.016,127.380,-232.056
-0.031,-1.559,-0.178,-40.466,114.258,-221.313
0.053,-1.599,-0.245,-21.545,92.102,-189.270
0.132,-1.532,-0.246,0.549,66.345,-147.888
0.210,-1.391,-0.171,10.071,43.152,-111.389
0.274,-1.268,-0.069,12.024,26.428,-86.365
0.318,-1.212,-0.020,13.489,20.020,-72.205
0.322,-1.225,-0.056,11.353,24.109,-63.171
0.330,-1.283,-0.134,2.686,31.555,-53.528
0.331,-1.351,-0.200,-4.150,31.616,-40.894
0.317,-1.429,-0.235,-2.808,23.071,-24.658
0.302,-1.476,-0.260,-1.953,13.000,-4.700
0.319,-1.480,-0.278,-1.831,3.662,19.958
0.323,-1.415,-0.288,3.174,-7.385,49.744
0.343,-1.263,-0.234,8.362,-21.179,83.008
0.392,-1.026,-0.096,11.780,-39.490,114.746
0.442,-0.763,0.071,19.043,-58.533,139.893
0.490,-0.542,0.206,24.780,-70.618,154.907
0.526,-0.407,0.291,25.269,-70.679,156.555
0.535,-0.387,0.325,23.621,-61.401,146.606
0.522,-0.487,0.323,25.085,-50.537,132.019
0.493,-0.659,0.310,27.710,-43.518,122.131
0.424,-0.820,0.303,31.494,-41.748,124.268
0.343,-0.913,0.285,36.682,-41.626,139.587
0.272,-0.911,0.256,39.551,-41.809,164.001
0.184,-0.832,0.244,47.852,-45.715,191.711
0.129,-0.683,0.281,66.345,-56.885,218.811
0.092,-0.445,0.378,82.336,-74.280,245.911
0.071,-0.182,0.509,87.463,-89.783,269.287
0.056,0.024,0.629,84.839,-97.473,285.034
0.056,0.166,0.710,75.073,-96.069,291.870
0.035,0.234,0.754,61.646,-86.182,287.903
0.014,0.174,0.725,51.880,-70.129,277.405
-0.034,-0.007,0.645,41.016,-52.429,266.357
-0.118,-0.206,0.603,29.541,-41.138,265.869
-0.192,-0.248,0.636,33.630,-42.664,284.546
-0.255,-0.157,0.759,59.265,-56.824,323.303
-0.342,0.234,0.862,99.915,-71.289,375.366
-0.417,0.726,0.979,125.061,-88.379,414.551
-0.353,1.181,1.107,126.892,-107.544,432.434
-0.266,1.552,1.224,124.023,-116.333,422.974
-0.222,1.814,1.214,109.741,-105.286,387.939
-0.157,1.958,1.074,69.153,-75.928,338.440
-0.110,1.893,0.866,34.729,-46.631,278.015
-0.108,1.651,0.678,8.240,-32.532,221.924
-0.077,1.418,0.557,-4.578,-34.241,186.890
-0.148,1.376,0.580,1.709,-47.119,178.162
-0.093,1.439,0.645,28.931,-68.481,182.190
-0.041,1.549,0.771,28.564,-89.478,178.528
-0.007,1.774,1.000,13.855,-108.154,179.260
0.010,1.911,1.134,21.606,-109.131,174.805
0.041,2.013,1.215,14.832,-94.360,162.231
0.065,2.096,1.234,13.123,-69.336,141.052
0.067,2.081,1.143,17.273,-37.354,106.934
0.052,1.959,0.979,4.395,-8.911,66.650
0.050,1.761,0.794,-9.521,7.446,30.273
0.062,1.552,0.689,-14.160,6.714,5.493
0.067,1.400,0.696,-12.085,-6.653,-6.714
0.062,1.295,0.823,-10.498,-24.231,-12.207
0.066,1.223,0.960,-3.662,-32.654,-13.916
0.089,1.191,1.042,1.038,-27.100,-13.855
0.098,1.203,1.054,4.456,-13.977,-13.733
0.100,1.229,1.010,10.559,-0.793,-14.648
0.104,1.235,0.928,13.733,10.315,-19.775
0.101,1.172,0.848,10.925,17.578,-30.457
0.092,1.046,0.787,6.775,20.691,-43.335
0.085,0.903,0.718,1.404,22.888,-52.734
0.082,0.777,0.650,-4.395,23.499,-56.213
0.100,0.682,0.619,-7.324,19.653,-53.650
0.116,0.627,0.630,-7.751,11.108,-46.387
0.126,0.609,0.669,-6.042,2.380,-36.621
0.127,0.600,0.719,-5.005,-2.075,-29.053
0.132,0.578,0.753,-5.493,-1.709,-23.987

0.031,1.696,0.984,15.320,-9.277,-26.489
0.008,1.793,1.061,21.179,-8.362,-37.598
-0.032,1.921,1.086,28.687,-2.136,-47.607
-0.056,2.113,1.072,27.100,9.583,-55.603
-0.090,2.373,1.072,21.118,19.287,-62.195
-0.140,2.670,1.102,13.306,21.484,-72.205
-0.179,2.913,1.198,1.831,19.348,-93.018
-0.287,3.034,1.377,-13.916,14.832,-132.141
-0.414,3.028,1.554,-24.353,15.076,-188.416
-0.535,2.875,1.650,-19.653,28.198,-255.615
-0.648,2.564,1.661,-6.104,51.331,-325.684
