accelerometerX,accelerometerY,accelerometerZ,gyroscopeX,gyroscopeY,gyroscopeZ
-0.437,0.526,0.684,15.503,-8.301,1.282
-0.439,0.495,0.832,10.742,-11.353,-6.958

-0.621,1.439,1.488,-28.259,-95.398,15.442
-0.646,1.652,1.798,-4.761,-68.115,-20.630
-0.764,1.721,2.066,9.399,-39.063,-36.194
-0.905,1.703,2.019,46.387,7.507,-89.905
-0.941,1.538,2.196,64.514,17.761,-126.526
-1.065,0.991,2.503,108.521,62.744,-171.753
-1.110,0.889,2.565,158.752,117.859,-180.664
-1.284,1.021,2.661,176.147,146.179,-184.998
-1.495,0.410,2.831,209.045,199.097,-219.543
-1.643,0.015,2.825,235.046,230.164,-225.647
-1.758,-0.549,2.076,313.110,311.218,-201.782
-1.409,-1.085,1.322,361.267,326.538,-156.982
-1.743,-1.262,1.270,343.201,306.030,-124.451
-1.732,-1.035,1.322,285.156,272.095,6.775
-1.784,-1.059,1.282,217.896,271.179,67.810
-1.952,-1.354,1.278,182.312,273.560,97.351
-2.197,-1.479,1.117,133.667,288.147,172.180
-2.284,-1.457,0.830,121.643,302.979,247.559
-2.422,-1.454,0.215,103.149,307.922,281.982
-2.591,-1.329,-0.088,56.152,280.151,357.178
-2.575,-1.213,-0.253,16.724,268.127,424.255
-2.637,-0.816,-0.722,18.738,258.606,454.895
-2.645,-0.494,-0.705,44.617,189.026,502.930
-2.596,-0.346,-0.403,35.828,152.222,521.729
-2.561,0.152,-0.710,44.495,162.903,553.528
-2.400,0.797,-1.501,93.445,148.254,568.970
-2.274,1.102,-1.638,110.352,96.436,565.186
-1.998,0.959,-0.799,113.892,-50.903,509.216
-1.863,0.497,-0.197,116.394,-79.346,474.731
-1.907,0.536,-0.265,116.760,-69.885,476.746
-1.815,1.307,-0.232,108.093,-87.830,498.535
-1.817,1.912,-0.251,107.788,-100.159,490.906
-1.737,1.937,-0.098,133.179,-130.432,399.048
-1.732,1.566,0.373,176.208,-131.042,364.075
-1.834,1.445,0.477,192.322,-104.614,325.317
-2.234,1.656,0.243,163.452,-93.567,317.749
-2.295,2.504,0.290,134.888,-123.108,330.566
-2.200,3.464,0.401,143.677,-143.738,332.275
-1.703,4.000,0.858,204.041,-167.969,142.578
-1.500,2.375,1.249,274.231,-120.544,-132.202
